Export Ticket de Caisse - Supermarché Démo,,,,
Date du ticket : 12 Mars 2026 18:41,,,,
,,,,
Rayon,Article,Prix Unitaire TTC (€),Quantité,Total TTC (€)
EPICERIE,PATES PENNE 500G,1.35,2,2.70
EPICERIE,RIZ BASMATI 1KG,3.20,1,3.20
EPICERIE,CAFE MOULU 250G,4.15,1,4.15
EPICERIE,CHOCOLAT NOIR 100G,2.10,1,2.10
FRAIS,LAIT DEMI-ECREME 1L,1.05,6,6.30
FRAIS,YAOURT NATURE X8,2.45,1,2.45
FRAIS,EMMENTAL RAPE 200G,2.60,1,2.60
FRUITS ET LEGUMES,TOMATES GRAPPE 1KG,2.90,1,2.90
FRUITS ET LEGUMES,BANANES 1KG,1.99,1,1.99
FRUITS ET LEGUMES,SALADE VERTE,1.15,1,1.15
LIQUIDE,EAU MINERALE PACK 6X1.5L,2.75,1,2.75
LIQUIDE,JUS D ORANGE 1L,1.90,2,3.80
HYGIENE,DENTIFRICE 75ML,2.35,1,2.35
HYGIENE,GEL DOUCHE 250ML,2.20,1,2.20
ENTRETIEN,LESSIVE LIQUIDE 2L,8.90,1,8.90
ENTRETIEN,ESSUIE-TOUT X4,3.45,1,3.45
